ID,Number,r1,r2,r3,r4,R5,Starting time ,Frequency(time once)
B073,1037,Noida,Palam,Paschim Vihar,Mehrauli,Greater Kailash,07:30 AM,10
B074,1037,Rohini,Laxmi Nagar,Greater Kailash,Pitampura,Saket,09:30 AM,15
B075,1038,Connaught Place,Faridabad,Preet Vihar,Tilak Nagar,Jasola,06:45 AM,30
B076,1038,Karol Bagh,Ramesh Nagar,Chhatarpur,Gurgaon,Badarpur,08:45 AM,20
B077,1039,Dwarka,Rajouri Garden,Ramesh Nagar,Defence Colony,Lajpat Nagar,07:00 AM,10
B078,1039,Jamia Nagar,Ashok Vihar,Saket,Paschim Vihar,Punjabi Bagh,09:00 AM,15
B079,1040,New Friends Colony,Chhatarpur,Ashok Vihar,Chhatarpur,Tilak Nagar,08:00 AM,30
B080,1040,Laxmi Nagar,Noida,Faridabad,Gurgaon,Rajouri Garden,10:00 AM,20
B081,1041,Najafgarh,Rohini,Uttam Nagar,Ghaziabad,Jasola,07:30 AM,10
B082,1041,Mehrauli,Mayur Vihar,Rohini,Karol Bagh,Patel Nagar,09:30 AM,15
B083,1042,Dilshad Garden,Ghaziabad,Ghaziabad,Lajpat Nagar,Jasola,07:15 AM,30
B084,1042,Dilshad Garden,Hauz Khas,Dwarka,Saket,Dwarka,09:15 AM,20
B085,1043,Ramesh Nagar,Vikaspuri,Vasant Kunj,Noida,Malviya Nagar,07:00 AM,40
B086,1043,Rajouri Garden,Karol Bagh,Laxmi Nagar,Rajouri Garden,Mayur Vihar,09:00 AM,15
B087,1044,Gurgaon,Lodhi Colony,Shahdara,Tilak Nagar,Dwarka,08:30 AM,30
B088,1044,Ghaziabad,Tilak Nagar,Palam,Greater Noida,Janakpuri,10:30 AM,20
B089,1045,Vikaspuri,Chhatarpur,Ashok Vihar,Ghaziabad,Ashok Vihar,06:00 AM,10
B090,1045,Malviya Nagar,Janakpuri,Rajouri Garden,Ashok Vihar,Sadar Bazaar,08:00 AM,15
B091,1046,Vasundhara,Vikaspuri,Najafgarh,Model Town,Akshardham,07:15 AM,30
B092,1046,Hauz Khas,Laxmi Nagar,Vikaspuri,Rajouri Garden,Rohini,09:15 AM,20
B093,1047,Mehrauli,Vikaspuri,Janakpuri,Chandni Chowk,Karol Bagh,06:45 AM,10
B094,1047,Palam,Preet Vihar,Sadar Bazaar,Karol Bagh,Badarpur,08:45 AM,5
B095,1048,Paharganj,Uttam Nagar,Palam,Karol Bagh,Najafgarh,07:30 AM,30
B096,1048,Preet Vihar,Punjabi Bagh,Defence Colony,Punjabi Bagh,Tilak Nagar,09:30 AM,20
B097,1049,Saket,Uttam Nagar,Rajouri Garden,Defence Colony,Dwarka,07:00 AM,10
B098,1049,Lajpat Nagar,New Friends Colony,Najafgarh,Dwarka,Pitampura,09:00 AM,15
B099,1050,Hauz Khas,Hauz Khas,Vikaspuri,Najafgarh,Ashok Vihar,08:00 AM,30
B100,1050,Laxmi Nagar,Pitampura,Sarita Vihar,Sadar Bazaar,Najafgarh,10:00 AM,20
