ID,Number,r1,r2,r3,r4,r5,Starting time,Frequency,R5
B066,1033,Defence Colony,Greater Kailash,Hauz Khas,Tilak Nagar,Punjabi Bagh,09:45 AM,15,Najafgarh
B067,1034,Greater Kailash,Hauz Khas,Tilak Nagar,Najafgarh,Faridabad,07:00 AM,30,Dilshad Garden
B068,1034,Hauz Khas,Tilak Nagar,Najafgarh,Dilshad Garden,Gurgaon,09:00 AM,20,Sadar Bazaar
B069,1035,Tilak Nagar,Najafgarh,Dilshad Garden,Sadar Bazaar,Najafgarh,08:00 AM,10,Malviya Nagar
B070,1035,Najafgarh,Dilshad Garden,Sadar Bazaar,Malviya Nagar,Noida,10:00 AM,15,Mehrauli
B071,1036,Dilshad Garden,Sadar Bazaar,Malviya Nagar,Mehrauli,Uttam Nagar,06:15 AM,35,Badarpur
B072,1036,Sadar Bazaar,Malviya Nagar,Mehrauli,Badarpur,Mayur Vihar,08:15 AM,20,New Friends Colony
B073,1037,Malviya Nagar,Mehrauli,Badarpur,New Friends Colony,Greater Kailash,07:30 AM,10,Paschim Vihar
B074,1037,Mehrauli,Badarpur,New Friends Colony,Paschim Vihar,Saket,09:30 AM,15,Vasant Kunj
B075,1038,Badarpur,New Friends Colony,Paschim Vihar,Vasant Kunj,Jasola,06:45 AM,30,Jasola
B076,1038,New Friends Colony,Paschim Vihar,Vasant Kunj,Jasola,Badarpur,08:45 AM,20,Ashok Vihar
B077,1039,Paschim Vihar,Vasant Kunj,Jasola,Ashok Vihar,Lajpat Nagar,07:00 AM,10,Rohini
B078,1039,Vasant Kunj,Jasola,Ashok Vihar,Rohini,Punjabi Bagh,09:00 AM,15,Patel Nagar
B079,1040,Jasola,Ashok Vihar,Rohini,Patel Nagar,Tilak Nagar,08:00 AM,30,Dwarka
B080,1040,Ashok Vihar,Rohini,Patel Nagar,Dwarka,Rajouri Garden,10:00 AM,20,Vikaspuri
B081,1041,Rohini,Patel Nagar,Dwarka,Vikaspuri,Jasola,07:30 AM,10,Ramesh Nagar
B082,1041,Patel Nagar,Dwarka,Vikaspuri,Ramesh Nagar,Patel Nagar,09:30 AM,15,Uttam Nagar
B083,1042,Dwarka,Vikaspuri,Ramesh Nagar,Uttam Nagar,Jasola,07:15 AM,30,Punjabi Bagh
B084,1042,Vikaspuri,Ramesh Nagar,Uttam Nagar,Punjabi Bagh,Dwarka,09:15 AM,20,Saket
B085,1043,Ramesh Nagar,Uttam Nagar,Punjabi Bagh,Saket,Malviya Nagar,07:00 AM,40,Gurgaon
B086,1043,Uttam Nagar,Punjabi Bagh,Saket,Gurgaon,Mayur Vihar,09:00 AM,15,Chandni Chowk
B087,1044,Punjabi Bagh,Saket,Gurgaon,Chandni Chowk,Dwarka,08:30 AM,30,Shahdara
B088,1044,Saket,Gurgaon,Chandni Chowk,Shahdara,Janakpuri,10:30 AM,20,Sarita Vihar
B089,1045,Gurgaon,Chandni Chowk,Shahdara,Sarita Vihar,Ashok Vihar,06:00 AM,10,Jamia Nagar
B090,1045,Chandni Chowk,Shahdara,Sarita Vihar,Jamia Nagar,Sadar Bazaar,08:00 AM,15,Rajouri Garden
B091,1046,Shahdara,Sarita Vihar,Jamia Nagar,Rajouri Garden,Akshardham,07:15 AM,30,Preet Vihar
B092,1046,Sarita Vihar,Jamia Nagar,Rajouri Garden,Preet Vihar,Rohini,09:15 AM,20,Pitampura
B093,1047,Jamia Nagar,Rajouri Garden,Preet Vihar,Pitampura,Karol Bagh,06:45 AM,10,Ghaziabad
B094,1047,Rajouri Garden,Preet Vihar,Pitampura,Ghaziabad,Badarpur,08:45 AM,5,Karol Bagh
B095,1048,Preet Vihar,Pitampura,Ghaziabad,Karol Bagh,Najafgarh,07:30 AM,30,Janakpuri
B096,1048,Pitampura,Ghaziabad,Karol Bagh,Janakpuri,Tilak Nagar,09:30 AM,20,Noida
B097,1049,Ghaziabad,Karol Bagh,Janakpuri,Noida,Dwarka,07:00 AM,10,Lajpat Nagar
B098,1049,Karol Bagh,Janakpuri,Noida,Lajpat Nagar,Pitampura,09:00 AM,15,Laxmi Nagar
B099,1050,Janakpuri,Noida,Lajpat Nagar,Laxmi Nagar,Ashok Vihar,08:00 AM,30,Faridabad
B100,1050,Noida,Lajpat Nagar,Laxmi Nagar,Faridabad,Najafgarh,10:00 AM,20,Vasundhara
